datetime,HR_mean,HR_std,EDA_mean,EDA_std,TEMP_mean,TEMP_std,acc_mag_mean,acc_mag_std,hour,hour_sin,hour_cos,label
2020-07-15 12:56:00,-1.0726065887643161,0.06799259551694393,-1.1558100151706157,0.014094697230466455,-0.793794780438258,0.06645562539932008,1.8100289480484137,0.3590603912199799,12,1.2246467991473532e-16,-1.0,2.0
2020-07-15 12:57:00,-0.8560619984916695,0.09536206604670905,-1.1396489128146723,0.008143814868804689,-0.8348675703832195,0.05191733039731955,2.0274924152310194,0.5636242123470342,12,1.2246467991473532e-16,-1.0,2.0
2020-07-15 12:58:00,-1.2199073372226488,0.09088176817355356,-1.1284906553927114,0.023126500569715217,-1.077779406438306,0.032469943508658464,1.6513506526835589,0.6318434649357711,12,1.2246467991473532e-16,-1.0,2.0
2020-07-15 12:59:00,-1.0769956117788446,0.08810285002125734,-1.1460163669440948,0.02196130493128078,-1.0075878475025148,0.06754729238142021,1.4420810481566058,0.41317507106566254,12,1.2246467991473532e-16,-1.0,2.0
2020-07-15 13:00:00,-1.1765657349541814,0.030042570706552113,-1.1654053797500874,0.00641687390930586,-1.121610816603451,0.07308181518894352,1.2873910826560178,0.2620662356927904,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:01:00,-0.806066824100114,0.2622903608189596,-1.1771624730289445,0.005608942373132785,-1.2150973907319078,0.11360674777867685,1.4155602737721005,0.4990212206438089,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:11:00,-0.08197141017133282,0.6271897371059828,-1.1419454039800845,0.01646024070684297,-1.5200781817411333,0.03938141748733252,1.296454926656456,0.3627999212789415,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:12:00,0.39636206081096004,0.42999645861346536,-1.0962215277362588,0.02217186209912689,-1.4805379585851637,0.0784039829047583,1.5433474539698193,0.31848896023204554,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:13:00,-1.2397396513228713,0.26489200916099886,-1.0945016252299034,0.02106205153473336,-1.3738713100713842,0.09590243455649212,1.5986213790493176,0.38493151461538283,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:14:00,-1.135698794598161,0.09039874834601527,-1.128956058620901,0.012133570165342207,-1.5602314316127002,0.03693907470412692,1.8469463832873376,0.3246137395912756,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:15:00,-1.1539435897356818,0.15775337462425706,-1.0983691475970723,0.07313247272355328,-1.8609210356127508,0.25604681819480807,1.5624593311795578,0.4515100679104922,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:16:00,-0.8382841206961198,0.06245449871501006,-1.0774167746670436,0.05065689231382711,-2.3663615626220116,0.08633525436961394,1.5205398585964387,0.5171310006495531,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:17:00,-1.060233279202082,0.07722471922967603,-1.0520066460896227,0.0569306584463001,-2.366361562622011,0.10845602096655574,1.3885867383771175,0.40632431768360594,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 13:18:00,-0.6067748296132994,0.15250941250204406,-0.968012524536049,0.052901352949698686,-1.8961700717595464,0.1345088392860386,1.4376310247090407,0.4902978646306915,13,-0.2588190451025208,-0.9659258262890683,2.0
2020-07-15 18:51:00,-0.34436728342554146,0.12309082130083607,-0.9181131797253597,0.15803528229562372,0.07792920913987217,0.11956299897834781,1.5913821435532585,0.4352417752283958,18,-1.0,-1.8369701987210297e-16,0.0
2020-07-15 18:52:00,0.10254265044209639,0.2553683942203545,-0.6188325922181797,0.05937267318063454,0.37785252974542705,0.09054056202492783,1.4884081168555945,0.28704510143335343,18,-1.0,-1.8369701987210297e-16,0.0
