datetime,HR_mean,HR_std,EDA_mean,EDA_std,TEMP_mean,TEMP_std,acc_mag_mean,acc_mag_std,day,time_sec,label
2020-04-18 13:15:00,0.9363911016481514,0.24830265108410385,-0.8121814830677562,0.048038362386150314,0.35085763053170516,0.02427891438656565,1.2495706693600634,0.40482231274376435,2020-04-18,0.0,2.0
2020-04-18 13:16:00,-0.03841408379414153,0.15794700445416515,-0.751332939114954,0.09853781841315759,0.4662728932372388,0.04878027822945606,2.131487762282821,0.6662999484022555,2020-04-18,0.0022675736961451248,2.0
2020-04-18 13:17:00,0.013790417106532922,0.05635613229634126,-0.7275049314668157,0.030283479957647456,0.49587320808185253,0.021122080886324047,1.6894310950936162,0.6631861594636645,2020-04-18,0.0045351473922902496,2.0
2020-04-18 13:18:00,0.3229882160652258,0.37804481963047354,-0.6793479923591809,0.05631218568088127,0.5336525572914242,0.019869392684418143,1.1389298084725439,0.20468954940052841,2020-04-18,0.006802721088435374,2.0
2020-04-18 13:19:00,0.5013827912906852,0.7226358539776769,-0.5847583498082509,0.024624924368658107,0.5696143433087849,0.02447434563547879,1.0972887320092821,0.1273058100058546,2020-04-18,0.009070294784580499,2.0
2020-04-18 13:20:00,-1.1859787948680292,0.31047053667394203,-0.6087942925251111,0.048264397677405445,0.5890882346539249,0.01382869307741958,1.1726365223323336,0.2955867613087658,2020-04-18,0.011337868480725623,2.0
2020-04-18 13:21:00,0.2008419467598725,0.25778872239463585,-0.6101410174605048,0.03353654337402108,0.6264781060365959,0.017670473884166954,1.4141271393975703,0.44760848923416946,2020-04-18,0.013605442176870748,2.0
2020-04-18 13:22:00,-0.3950134527820543,0.21497214143817103,-0.6962287529474952,0.098861416841777,0.7502022290493884,0.059500576353897945,1.7079954052169704,0.7528503738318829,2020-04-18,0.015873015873015872,2.0
2020-04-18 13:23:00,0.6773832003674559,0.6807532118181269,-0.935842439221765,0.11936141961931353,0.7341038122040725,0.04799034313199497,1.7903181361082854,0.6358100893043875,2020-04-18,0.018140589569160998,2.0
2020-04-18 14:32:00,-0.6931163354419463,0.08883914483335585,-0.9800589837453109,0.05223077138898842,-0.5541590132481279,0.01798639775776912,1.8515584895591148,0.6003333266778067,2020-04-18,0.1746031746031746,2.0
2020-04-18 14:33:00,-1.0921975549950054,0.24644074354594245,-0.9400727544495251,0.009569949105583599,-0.6076473014761147,0.02116992980565074,1.5126013879226745,0.18062139849207967,2020-04-18,0.17687074829931973,2.0
2020-04-18 14:34:00,-1.362694534074591,0.22517357233566812,-0.9328996109766979,0.024438204064429116,-0.5668819555936203,0.0392090479068827,1.5905591342218135,0.23257012389445916,2020-04-18,0.17913832199546487,2.0
2020-04-18 14:35:00,-0.9524162082041893,0.14334540553160058,-0.9620151053138329,0.02995046577942317,-0.5472782383061794,0.07947279654217256,1.7333408260507257,0.17922734813392197,2020-04-18,0.18140589569160998,2.0
2020-04-18 14:36:00,-1.6360820308214956,0.22045398646518016,-1.0398012045505727,0.04122048819442913,-0.7174800486627079,0.19221368389502164,1.811962916885414,0.3154915445002691,2020-04-18,0.1836734693877551,2.0
2020-04-18 14:37:00,-1.0843435221413804,0.5540987016117016,-1.0286890191374298,0.04592350446546679,-1.178751621657938,0.08908143206496313,2.083013455230471,0.3567836837226,2020-04-18,0.18594104308390022,2.0
2020-04-18 19:05:00,-0.5640482565133369,0.4924259915908724,-1.245774864390541,0.007551853703996676,-0.20127355551099516,0.03400362822164282,1.2905512695703598,0.3227453789328627,2020-04-18,0.7936507936507936,2.0
2020-04-18 19:06:00,-0.34501333656706273,0.09042013093362605,-1.251583523379062,0.017417327780869383,-0.4713300620601301,0.09679527670039147,1.9151610664375442,0.6104170346512566,2020-04-18,0.7959183673469388,2.0
2020-04-18 19:07:00,-0.822299117452592,0.2373587436728608,-1.2466414282579663,0.015229318964094294,-0.6105034722067355,0.050844699845323464,1.9763427909563873,0.45763885014554256,2020-04-18,0.7981859410430839,2.0
